時間戳記,Index,Learning_Rate,Batch_Size,Dropout_Config_ID,Dropout_Values,Accuracy,訓練耗時(秒),平台
2025-12-19 20:14:45,145,8e-05,26,4,"[0.5, 0.45, 0.4, 0.35]",0.831737,206.50,Windows-AMD64
2025-12-19 20:19:13,146,8e-05,26,5,"[0.55, 0.5, 0.45, 0.4]",0.833105,267.13,Windows-AMD64
2025-12-19 20:22:00,147,8e-05,26,6,"[0.4, 0.4, 0.4, 0.4]",0.822161,166.67,Windows-AMD64
2025-12-19 20:24:21,148,8e-05,26,7,"[0.3, 0.3, 0.3, 0.3]",0.818057,140.88,Windows-AMD64
2025-12-19 20:27:42,149,8e-05,26,8,"[0.5, 0.3, 0.3, 0.1]",0.832421,200.92,Windows-AMD64
2025-12-19 20:30:15,150,8e-05,26,9,"[0.2, 0.3, 0.4, 0.5]",0.829685,153.47,Windows-AMD64
2025-12-19 20:32:26,151,8e-05,28,0,"[0.3, 0.25, 0.2, 0.15]",0.820793,130.79,Windows-AMD64
2025-12-19 20:34:41,152,8e-05,28,1,"[0.35, 0.3, 0.25, 0.2]",0.820793,134.11,Windows-AMD64
2025-12-19 20:37:36,153,8e-05,28,2,"[0.4, 0.35, 0.3, 0.25]",0.838577,174.74,Windows-AMD64
2025-12-19 20:40:47,154,8e-05,28,3,"[0.45, 0.4, 0.35, 0.3]",0.834473,191.26,Windows-AMD64
2025-12-19 20:43:51,155,8e-05,28,4,"[0.5, 0.45, 0.4, 0.35]",0.830369,183.12,Windows-AMD64
2025-12-19 20:47:53,156,8e-05,28,5,"[0.55, 0.5, 0.45, 0.4]",0.839261,242.38,Windows-AMD64
2025-12-19 20:50:54,157,8e-05,28,6,"[0.4, 0.4, 0.4, 0.4]",0.836525,180.03,Windows-AMD64
2025-12-19 20:53:12,158,8e-05,28,7,"[0.3, 0.3, 0.3, 0.3]",0.835157,138.25,Windows-AMD64
2025-12-19 20:55:47,159,8e-05,28,8,"[0.5, 0.3, 0.3, 0.1]",0.825581,154.68,Windows-AMD64
2025-12-19 20:58:02,160,8e-05,28,9,"[0.2, 0.3, 0.4, 0.5]",0.828317,134.47,Windows-AMD64
2025-12-19 20:59:53,161,8e-05,32,0,"[0.3, 0.25, 0.2, 0.15]",0.822161,110.83,Windows-AMD64
2025-12-19 21:01:43,162,8e-05,32,1,"[0.35, 0.3, 0.25, 0.2]",0.825581,110.19,Windows-AMD64
2025-12-19 21:03:52,163,8e-05,32,2,"[0.4, 0.35, 0.3, 0.25]",0.826265,128.46,Windows-AMD64
2025-12-19 21:06:12,164,8e-05,32,3,"[0.45, 0.4, 0.35, 0.3]",0.826949,139.69,Windows-AMD64
2025-12-19 21:09:30,165,8e-05,32,4,"[0.5, 0.45, 0.4, 0.35]",0.840629,198.65,Windows-AMD64
2025-12-19 21:12:48,166,8e-05,32,5,"[0.55, 0.5, 0.45, 0.4]",0.837893,197.54,Windows-AMD64
2025-12-19 21:15:23,167,8e-05,32,6,"[0.4, 0.4, 0.4, 0.4]",0.836525,154.74,Windows-AMD64
2025-12-19 21:17:08,168,8e-05,32,7,"[0.3, 0.3, 0.3, 0.3]",0.820109,104.78,Windows-AMD64
2025-12-19 21:19:25,169,8e-05,32,8,"[0.5, 0.3, 0.3, 0.1]",0.824213,136.61,Windows-AMD64
2025-12-19 21:21:32,170,8e-05,32,9,"[0.2, 0.3, 0.4, 0.5]",0.824213,126.55,Windows-AMD64
2025-12-19 21:22:45,171,8e-05,48,0,"[0.3, 0.25, 0.2, 0.15]",0.819425,72.70,Windows-AMD64
2025-12-19 21:24:11,172,8e-05,48,1,"[0.35, 0.3, 0.25, 0.2]",0.822845,86.32,Windows-AMD64
2025-12-19 21:25:37,173,8e-05,48,2,"[0.4, 0.35, 0.3, 0.25]",0.815321,85.99,Windows-AMD64
